岗位名称,单位名称,省份,月薪范围(k),招聘人数,学历要求,专业要求,单位性质,单位规模,福利标签,发布时间,职位ID
电商运营助理,广州市穗从农林发展有限公司,全国,2.8-3.0,2,专科及以上,电子商务 数字媒体,股份制企业,1-49人,岗位晋升，技能培训，年终奖，绩效奖金，交通补助，免费加班餐，提供住宿,2026-07-03 20:36,Bxwrvm2a9QCSiDvYz8sPx5
舞蹈实习生,珠海演艺集团有限责任公司,广东,2.0-5.0,10,专科及以上,,国有企业,100-499人,,2026-07-03 17:16,KWZbd1Hkriqs7ujm2u6ZMq
北京地铁安检员,北京中海旅服物业管理有限公司,北京,3.0-4.0,100,专科及以上,信息安全，消防专业，空乘，城市轨道、运输、运营管理、信号技术,民营企业,1-49人,,2026-07-03 16:44,QYZixd72YYCyi13uVva1d
非标售后实习生,苏州智睿希尔智能科技有限公司,全国,5.0-6.0,50,专科及以上,,民营企业,50-99人,,2026-07-03 15:01,4jmb8nPvgF7EM77s1ADDGM
27届预备技师（有名额立刻安排面试）,中南国际科技发展（深圳）有限公司,广东,8.0-12.0,10,专科及以上,机械设计制造及其自动化 电气自动化技术 机电一体化 计算机应用技术 智能控制技术 智能机器人技术 智能制造装备技术 模具设计与制造,民营企业,100-499人,,2026-07-03 14:29,HYdyN9h6z3ZSgrJVd8QC56
产线上料操作员（新能源）,浙江吉利极电智能科技有限公司,浙江,6.0-8.0,50,专科及以上,材料 电化学 新能源 车辆工程 电气 机械 机电一体化 电机 自动化 能源工程 电气工程 储能 工业工程 物流管理 汽车制造与装配技术 汽车制造类 建筑工程技术 计算机应用技术 车辆工程 机械设计制造及其自动化 机电一体化技术 工业机器人技术 新能源汽车技术 电气自动化 土木工程 电子应用技术 物联网技术 数控技术 智能焊接技术 轨道交通运输 土木水利 城市轨道交通运营管理 建筑装饰工程技术 工商企业 机械相关专业,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，提供住宿，班车接送,2026-07-03 14:22,G3eQkxg82nrW9R7ou7dr59
亲子老师,北京华夏起点传承教育科技有限公司,北京,2.0-2.3,50,不限,学前教育 早期教育 托育服务 艺术专业 小学教育 舞蹈培训 体能专业,民营企业,1-49人,五险一金，岗位晋升，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-03 14:16,3iQ32AAT6kDYUmp7TqQ4r9
主班老师,北京华夏起点传承教育科技有限公司,北京,2.0-2.3,50,不限,学前教育 早期教育 托育服务 艺术专业 小学教育 舞蹈培训,民营企业,1-49人,五险一金，岗位晋升，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-03 14:16,Fse884Tasq9ftPDZHjXR2b
儿童体能老师,北京华夏起点传承教育科技有限公司,北京,2.0-2.3,50,不限,学前教育 早期教育 托育服务 艺术专业 小学教育 舞蹈培训 体能专业,民营企业,1-49人,五险一金，岗位晋升，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-03 14:16,45UaRen2yWd57MAcWnmGWY
保育老师,北京华夏起点传承教育科技有限公司,北京,2.0-2.3,50,不限,学前教育 早期教育 托育服务 艺术专业 小学教育 舞蹈培训,民营企业,1-49人,五险一金，岗位晋升，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-03 14:16,J3RDVKNH5jaUtArwv6J7E2
配班老师,北京华夏起点传承教育科技有限公司,北京,2.0-2.3,50,不限,学前教育 早期教育 托育服务 艺术专业 小学教育 舞蹈培训,民营企业,1-49人,五险一金，岗位晋升，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-03 14:16,6eSnz8mFfUR4SGTV41WUxP
舞蹈培训中心,北京华夏起点传承教育科技有限公司,北京,2.0-2.3,50,不限,学前教育 早期教育 托育服务 艺术专业 小学教育 舞蹈培训,民营企业,1-49人,五险一金，岗位晋升，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-03 14:16,51ULFu5gFYJhueTkznRVEr
会计实习生（免费住宿）,两岸梧桐（厦门）中小企业创业服务有限公司,福建,2.0-2.0,1,专科及以上,财务管理 会计 审计 会计电算化,其他,1-49人,五险一金，带薪年假，技能培训，股权激励，节日礼物,2026-07-03 13:21,FWVzSWLhea5BUMYzgBqmYZ
法务实习生,无锡奈良科技有限公司,江苏,5.0-8.0,3,专科及以上,,民营企业,1-49人,,2026-07-03 12:54,8ManzLGe7goQehinUSYihJ
电机工程师,云阔具身（江苏）智能科技有限公司,江苏,4.5-10.0,2,本科及以上,,民营企业,100-499人,,2026-07-03 11:56,Y9rfqz1HHsyZRh5MEX4cJb
销售助理,株洲新环境房地产经纪有限公司,湖南,3.0-10.0,5,专科及以上,专业不限,民营企业,1000-4999人,五险一金，岗位晋升，技能培训，弹性工作，绩效奖金,2026-07-03 11:44,GiQeeLWUt4WAv6FasQ5tLV
中国铁路经济规划研究院有限公司安排实习生公告（2026年下半年）,中国铁路经济规划研究院有限公司,北京,2.4-4.5,44,本科及以上,,国有企业,100-499人,,2026-07-03 11:18,Wh75iqKjnnf3NyFQL78YUA
房产管培生,株洲新门户房地产经纪有限公司,湖南,3.0-8.0,0,专科及以上,,民营企业,100-499人,五险一金，岗位晋升，技能培训，弹性工作，年终分红，股票期权，年终奖，年度旅游，节日礼物,2026-07-03 10:50,Paadk3gM7eKMbkbnejadzt
储备店长,株洲新门户房地产经纪有限公司,湖南,3.0-8.0,0,专科及以上,,民营企业,100-499人,五险一金，岗位晋升，技能培训，弹性工作，年终分红，股票期权，年终奖，年度旅游，节日礼物,2026-07-03 10:50,AbGBhwCBqFJxPd4V21LjXo
销售实习生 I 大学生可实习，提供实习证明,湖南象盒网络科技有限公司,湖南,4.0-6.0,30,专科及以上,专业不限 房地产 市场营销 电子商务 工商管理 新媒体等相关专业优先,民营企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，股权激励，扁平管理，年度旅游，提供住宿,2026-07-03 10:25,D4e4ZuwEAUE12Mi7q3CfB9
前台接待,阿勒泰瑞禾投资有限公司,新疆,3.0-3.5,2,专科及以上,酒店管理、旅游管理、不限专业,民营企业,100-499人,,2026-07-03 09:51,J1if7RrMCSZF6Fo4tMpNBn
餐饮服务,阿勒泰瑞禾投资有限公司,新疆,3.0-3.5,2,不限,酒店管理，旅游管理，不限专业,民营企业,100-499人,,2026-07-03 09:51,K1xXp7bAy3ybnc78UPrRYQ
施工技术员,江苏苏坤智造科技有限公司,安徽,3.0-5.0,30,专科及以上,土木类/水利类//测绘类/地质类/能源动力类,民营企业,1-49人,,2026-07-03 09:23,BEqRdisUhhxMHnPVwhqUAG
非标自动化装配实习生,珠海华冠科技股份有限公司,广东,5.0-7.0,40,专科及以上,机电一体化 电气自动化 机械制造 工业机器人 数控技术 汽车维修,股份制企业,500-999人,五险一金，岗位晋升，技能培训，年终奖，午餐补助，提供住宿,2026-07-02 16:12,JBikN372kKpg9USem3vnNm
机加工技术员,极光湾（宁波）智能科技有限公司,浙江,5.0-6.5,20,专科及以上,工业机器人技术 数控技术 新能源汽车技术 智能控制技术 智能焊接技术 机械制造及自动化 机械设计与制造 机电设备技术 汽车制造与试验技术 汽车检测与维修技术 现代物流管理 电气自动化技术,民营企业,500-999人,岗位晋升，提供住宿,2026-07-02 10:33,HCngExQUQEmBaGzyV2s3QV
装配技术员,极光湾（宁波）智能科技有限公司,浙江,5.0-6.5,20,专科及以上,工业机器人技术 数控技术 新能源汽车技术 智能控制技术 智能焊接技术 机械制造及自动化 机械设计与制造 机电设备技术 汽车制造与试验技术 汽车检测与维修技术 现代物流管理 电气自动化技术,民营企业,500-999人,岗位晋升，提供住宿,2026-07-02 10:33,GivuaHXK6DfRY9BFPWiaLd
电商销售,杭州亿馨网络科技有限公司,浙江,4.2-8.2,10,专科及以上,经管系 电子商务 计算机,民营企业,100-499人,五险一金，带薪年假，扁平管理，绩效奖金，提供住宿,2026-07-02 17:21,5kMo22AQhWmn2CucJpzZSD
直播运营助理,杭州亿馨网络科技有限公司,浙江,3.5-5.0,5,专科及以上,经管系 电子商务 计算机,民营企业,100-499人,五险一金，带薪年假，扁平管理，绩效奖金，提供住宿,2026-07-02 17:20,176hC37Y9fEGEyqJn51tHU
BYD 王朝网招【线索邀约专员】8-15K,成都洪武盛世汽车销售服务有限公司,四川,4.0-7.0,10,不限,,民营企业,1000-4999人,,2026-07-02 17:06,Mckkc4FyESh9BXXUN1EVff
法务实习生,上海东方建筑设计研究院有限公司,江苏,2.2-2.5,20,本科及以上,法学,民营企业,50-99人,,2026-07-02 16:05,V8EXGQBTgUdE5F2yeco6XL
财务实习生,上海东方建筑设计研究院有限公司,江苏,2.2-2.5,20,本科及以上,财务管理 会计学,民营企业,50-99人,,2026-07-02 16:03,3SBitf5ZsGcaXwpP2Pvxfu
张家口数据采集,北京互联智行科技有限公司,河北,3.0-5.0,30,专科及以上,计算机,民营企业,100-499人,,2026-07-02 14:30,MVpRcDeoPA712dqHecAuSB
2027年毕业管培生,深圳市万象美物业管理有限公司南昌万达城分公司,江西,3.5-5.0,5,专科及以上,,民营企业,1-49人,,2026-07-02 14:22,8JM9TznmVrpFqRBnANov6t
检测员,天津德必检测技术有限公司,江苏,4.0-5.0,8,专科及以上,机电、理化测试与质检、焊接、数控、船舶,民营企业,1-49人,,2026-07-02 12:07,SsoC1HLhq7DNoBgovTCzLF
服务顾问,湘潭宝泽汽车销售服务有限公司,湖南,2.0-3.0,1,专科及以上,,股份制企业,50-99人,,2026-07-02 11:00,KUGNdg3W8RMowmm5RDa38M
车工,天津五合伟业工程管理服务有限公司,天津,3.0-4.0,10,专科及以上,,民营企业,500-999人,五险一金，带薪年假,2026-07-02 10:42,EUnHTyPeRHd1b6FaHfD9Pp
CRO公司诚聘：北京-实习运营CRA临床监查员,北京夸克侠科技有限公司,北京,2.0-5.0,5,本科及以上,医学 药学,民营企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，专项奖金，年度旅游，午餐补助，节日礼物，零食水果,2026-07-02 10:38,X9SbUjv3d3GN7qYVZ5ipjP
医学实习生,北京夸克侠科技有限公司,上海,2.0-4.0,1,本科及以上,临床医学,民营企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，专项奖金，年度旅游，午餐补助，节日礼物，零食水果,2026-07-02 10:38,BT55Rj2EZZBVc3Yk4EWQ4V
医学实习生-沈阳,北京夸克侠科技有限公司,辽宁,2.0-4.0,1,专科及以上,临床医学,民营企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，专项奖金，年度旅游，午餐补助，节日礼物，零食水果,2026-07-02 10:38,9G5rNHBRPHLyVit1pEGNTy
医学实习生-北京,北京夸克侠科技有限公司,北京,2.0-3.0,2,本科及以上,,民营企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，专项奖金，年度旅游，午餐补助，节日礼物，零食水果,2026-07-02 10:38,2SguPdreFDaa76MmC9VRud
【长沙-实习生】英语主播（提供单人公寓住宿+可开实习证明+接受无经验）,湖南世纪征途企业管理有限公司,湖南,8.0-15.0,15,本科及以上,不限专业,民营企业,500-999人,带薪年假，岗位晋升，技能培训，年终奖，绩效奖金，年度旅游，住房补助，节日礼物，提供住宿,2026-07-02 10:33,6Aamkxcty2CxFzDkqDSoAK
幼儿园/托育/早教/亲子乐园实习副班老师,广州天诺教育有限公司,广东,2.0-2.0,100,专科及以上,学前教育、早期教育、婴幼儿托育，小学教育等教育专业,民营企业,100-499人,五险一金,2026-07-02 10:33,QErKg2fWDRLrAQ7WJw3KrR
小学生托管实习老师,广州天诺教育有限公司,广东,2.0-2.0,100,专科及以上,学前教育、早期教育、婴幼儿托育，小学教育等教育专业,民营企业,100-499人,五险一金,2026-07-02 10:32,BxwWE8TAjFemW1KKeRr1wh
商务专员,江苏淘金无忧创投投资管理有限公司,江苏,1.0-2.0,17,本科及以上,互联网、市场营销、工商管理、金融、财务管理、传媒、设计、播音、中文、法学等相关专业优先,民营企业,50-99人,,2026-07-02 10:29,9ck4a3Lm9T8TPzSFfdxHyU
前厅部 礼宾员,苏州吴宫大酒店有限公司苏州吴宫泛太平洋酒店,江苏,3.0-3.5,20,不限,酒店管理 旅游 乘务,上市公司,100-499人,五险一金，岗位晋升，技能培训，弹性工作，定期体检，年终奖，绩效奖金，节日礼物，免费加班餐，提供住宿,2026-07-02 10:10,FE2aYnXeNWtpMxYNFpab7S
中 西餐服务,苏州吴宫大酒店有限公司苏州吴宫泛太平洋酒店,江苏,3.0-3.5,20,不限,无要求,上市公司,100-499人,五险一金，岗位晋升，技能培训，弹性工作，定期体检，年终奖，绩效奖金，节日礼物，免费加班餐，提供住宿,2026-07-02 10:10,YZdmRScEmfaRg4yVGMtDFv
餐厅服务员,苏州吴宫大酒店有限公司苏州吴宫泛太平洋酒店,江苏,3.0-3.5,20,不限,无要求,上市公司,100-499人,五险一金，岗位晋升，技能培训，弹性工作，定期体检，年终奖，绩效奖金，节日礼物，免费加班餐，提供住宿,2026-07-02 10:10,Ch7D2pSooj2inJCY9UUJbx
海淀五道口数据采集,北京互联智行科技有限公司,北京,5.0-6.0,30,专科及以上,计算机,民营企业,100-499人,,2026-07-02 10:05,NUJ4pLVxje9oMxbFE22j1X
亚马逊运营,重庆群星引力大数据科技有限公司,重庆,2.0-4.0,1,专科及以上,电子商务,民营企业,1-49人,岗位晋升，年终分红，节日礼物，零食水果,2026-07-02 09:36,UsF38Ja8G7kWYe4DxvPKBS
跨境电商运营专员,重庆群星引力大数据科技有限公司,重庆,2.0-4.0,1,专科及以上,电子商务 跨境电商,民营企业,1-49人,岗位晋升，年终分红，节日礼物，零食水果,2026-07-02 09:33,NFN7jNwSbrGgwXmY4SJ63k
【众星计划】线上实习互联网管培生储备干部,武汉市慕忻科技有限公司,全国,2.0-4.0,5,专科及以上,艺术 表演 播音主持 市场营销 工商管理 汉语言文学 教育类,民营企业,100-499人,五险一金，技能培训，弹性工作，绩效奖金,2026-07-01 17:12,SU8fzFsNM6VVEviJiWvXNT
高端连锁餐饮管培生｜包食宿｜管理精英培养计划,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,200,不限,烹饪 酒店管理 旅游管理 市场营销 高级饭店经营与管理 工商管理 食品,民营企业,1000-4999人,岗位晋升,2026-07-01 15:58,QdVJydtQjPZTw61oyRShEW
短期见习生,长兴太湖龙之梦长峰酒店投资管理有限公司,浙江,2.1-3.0,100,不限,酒店 烹饪 旅游 工商管理 空乘,上市公司,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，年底双薪，专项奖金，绩效奖金,2026-07-01 15:58,2YzFLQk9VntFBtVnTvfoFQ
连锁餐饮储备干部管培岗 包食宿,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,200,不限,烹饪 酒店管理 旅游管理,民营企业,1000-4999人,岗位晋升,2026-07-01 15:40,DJ1oxMxN7BGaqXHqXfsZ1A
收银员,上海昂达餐饮管理有限公司,上海,4.0-6.0,50,专科及以上,会计、财务、财会、经贸、酒店、旅游、高铁乘务、市场营销,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-01 15:39,LGPFngxZRCFTeyvE9EPRjk
酒店餐饮实习生包吃住,上海昂达餐饮管理有限公司,上海,4.0-5.0,100,不限,,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-01 15:38,YRtaUZ4aik6sa2djruKQQa
酒店综合储备实习生 包吃住,长兴太湖龙之梦长峰酒店投资管理有限公司,浙江,2.1-3.0,100,不限,,上市公司,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，年底双薪，专项奖金，绩效奖金,2026-07-01 14:29,CVdFwFFFjnMcFiYnYtMkKh
管培生（包吃住）,长兴太湖龙之梦长峰酒店投资管理有限公司,浙江,2.1-3.0,100,不限,酒店管理 旅游管理 会计 工商管理 烹饪,上市公司,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，年底双薪，专项奖金，绩效奖金,2026-07-01 14:15,9BNDRvpFc5Kk4FB28c5HXw
无经验可投 餐饮服务员管培生包吃住,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,200,不限,,民营企业,1000-4999人,岗位晋升,2026-07-01 14:05,8TjCD5F29shADMskUZwVER
门店储备干部（餐饮管培生）包吃住,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,200,不限,,民营企业,1000-4999人,岗位晋升,2026-07-01 13:54,9Pf6dbJZfFQXUVc55uHAbw
软测实习生,上海祥承通讯技术有限公司,上海,3.0-6.0,2,本科及以上,计算机、软件工程、电子信息等相关专业,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，股票期权，定期体检，扁平管理，年终奖，绩效奖金，年度旅游,2026-07-01 10:28,TYRPTqZ3rfDcL1EniEHUMi
流程自动化实习生,上海祥承通讯技术有限公司,上海,3.0-6.0,2,本科及以上,计算机、软件工程、信息管理等相关专业,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，股票期权，定期体检，扁平管理，年终奖，绩效奖金，年度旅游,2026-07-01 10:23,BdfssVukLjgyrUznFRcNhN
法务助理,上海祥承通讯技术有限公司,上海,3.0-6.0,2,本科及以上,法学相关,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，股票期权，定期体检，扁平管理，年终奖，绩效奖金，年度旅游,2026-07-01 10:14,3mF6Y8Ljyq4ovG5DUQChe9
包吃住前厅部实习生,长兴太湖龙之梦长峰酒店投资管理有限公司,浙江,2.1-3.0,100,不限,酒店管理 旅游管理 会计 工商管理 烹饪,上市公司,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，年底双薪，专项奖金，绩效奖金,2026-07-01 10:03,LisLWATy3996pmEgqZ5rbf
包吃住酒店餐饮实习生,长兴太湖龙之梦长峰酒店投资管理有限公司,浙江,2.1-3.0,100,不限,酒店管理 旅游管理 会计 工商管理 烹饪,上市公司,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，年底双薪，专项奖金，绩效奖金,2026-07-01 09:40,54TFHc43qZeWHgzsG53vVN
