岗位名称,单位名称,省份,月薪范围(k),招聘人数,学历要求,专业要求,单位性质,单位规模,福利标签,发布时间,职位ID
包吃住酒管专业实习生按需分岗实习,长兴太湖龙之梦长峰酒店投资管理有限公司,浙江,2.1-3.0,100,不限,酒店 烹饪 旅游 工商管理 空乘,上市公司,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年终奖，年底双薪，专项奖金，绩效奖金,2026-07-09 11:06,L4rmqejaFe4uJz7RQQLGZw
餐饮实习岗｜前厅后厨均可安排 食宿全包,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,100,不限,烹饪 酒店管理 旅游管理,民营企业,1000-4999人,岗位晋升,2026-07-09 11:03,LqEoDuebWkzFnmkUfKDVC4
包吃住前厅接待实习生,上海昂达餐饮管理有限公司,上海,4.0-5.0,100,不限,酒店 烹饪 旅游 工商管理 空乘,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-09 11:01,XZ9k79YkRuK11eVeQdVZrj
餐饮前厅后厨烹饪实习生岗位丨包食宿,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,100,不限,烹饪 酒店管理 旅游管理,民营企业,1000-4999人,岗位晋升,2026-07-09 11:00,Fcrcg2BgtCBNr8wpXNbSoa
前厅/后厨专业实习生（包吃住）,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,100,不限,烹饪 酒店管理 旅游管理,民营企业,1000-4999人,岗位晋升,2026-07-09 10:57,7aFNoHYoV37qGWrCJXCRZZ
包吃住快晋升烹饪专业实习生,上海昂达餐饮管理有限公司,上海,4.0-5.0,100,不限,酒店 烹饪 旅游 工商管理 空乘,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-09 10:52,NSnfGgYtBvvxxeiR77dxyQ
包吃住烹饪专业实习生,上海昂达餐饮管理有限公司,上海,4.0-5.0,100,不限,酒店 烹饪 旅游 工商管理 空乘,民营企业,500-999人,五险一金，岗位晋升，技能培训，年终分红，股票期权，定期体检，年终奖，年底双薪，免费加班餐，提供住宿,2026-07-09 10:49,WD3PLsAFbmdm8zhzeFCvVG
包吃住烹饪专业实习生,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,100,不限,烹饪 酒店管理 旅游管理,民营企业,1000-4999人,岗位晋升,2026-07-09 10:47,Kj4fyGZ79659v8CUGskRNV
市场运营（AI融合方向）实习生,天津市蓝快信息技术有限公司,天津,2.0-3.0,2,专科及以上,,民营企业,1-49人,五险一金，带薪年假，技能培训，免费加班餐,2026-07-09 10:37,RqtcSNNNzTAyzvxgWn62gb
商务实习生,深圳市建筑设计研究总院有限公司,广东,2.5-3.0,2,本科及以上,建筑学 工商管理 市场营销,国有企业,1000-4999人,,2026-07-09 10:14,NdpBgMBFSE12EqQLuXUg5w
社群运营实习生,北京迷彩元创文化传媒有限公司,北京,3.0-4.0,2,不限,,其他,50-99人,,2026-07-09 10:07,SgXwZfmH2YaRYcaTDLa9pQ
人事专员实习生,北京迷彩元创文化传媒有限公司,北京,3.0-4.0,6,不限,,其他,50-99人,,2026-07-09 10:07,B4kDzY6F1o5eMnYHVL2fPV
招聘助理实习生,上海海隆软件股份有限公司,上海,2.0-4.0,2,专科及以上,,股份制企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年底双薪，绩效奖金，年度旅游，午餐补助,2026-07-09 08:07,STLEkspDFiDDq2qv1n5d6d
财务出纳,上海海隆软件股份有限公司,北京,2.6-3.6,1,本科及以上,,股份制企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，年底双薪，绩效奖金，年度旅游，午餐补助,2026-07-09 08:07,Xs8gL3qTs49epZLgdDz4vf
智能制造技工,珠海冠宇电池股份有限公司,广东,6.0-7.5,50,专科及以上,,民营企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，专项奖金，绩效奖金，午餐补助，提供住宿，班车接送,2026-07-08 23:58,DGxpYD79VQ8yuQZGv5cd1p
智能制造技工,珠海冠宇电池股份有限公司,广东,4.5-7.0,100,专科及以上,机械类、电气类、,民营企业,5000以上,五险一金，带薪年假，岗位晋升，技能培训，专项奖金，绩效奖金，午餐补助，提供住宿，班车接送,2026-07-08 23:41,QhkzWP3oUzvJ3VKhQim5rd
储备技术员,安徽芯瑞达科技股份有限公司,安徽,4.7-6.0,10,专科及以上,理工科大类 电气自动化 机电一体化 智能制造 人工智能,股份制企业,1000-4999人,五险一金，带薪年假，岗位晋升，年终分红，股权激励，定期体检，年终奖，绩效奖金，交通补助，住房补助,2026-07-08 15:42,QBpiDLKfqLgNZdPWnfxMiP
餐饮咨客（包吃包住）,深圳市八合里餐饮管理有限公司,广东,4.0-6.0,30,专科及以上,酒店管理 旅游管理 餐饮管理 酒店管理与数字化运营 休闲服务与管理 会展策划与管理 市场营销 电子商务 商务管理 工商企业管理 人力资源管理 现代文秘 商务英语 空中乘务 礼仪主持 连锁经营管理 现代办公管理 新媒体营销 形象设计 婚庆服务与管理 现代物业管理 文化创意与策划 旅游英语 奢侈品运营与管理 健康管理 护理 学前教育 美容美体艺术 网络直播与运营,民营企业,1000-4999人,五险一金，岗位晋升，节日礼物，提供住宿,2026-07-08 14:40,QudsqDVsejJ99iTuwc5q6H
财务实习生,易鸿智能装备（宜兴）有限公司,江苏,3.0-4.0,1,本科及以上,财务管理 会计,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，年底双薪，住房补助，高温补贴，零食水果，提供住宿,2026-07-08 09:37,V1sPHcSMTfZ5Ydw7hhgXj
青岛崂山区 智能场景训练,北京瑞世盛誉科技发展有限公司,山东,4.0-5.0,10,专科及以上,,股份制企业,100-499人,,2026-07-08 21:04,KhWMsKLi2NUYZ4ePMLzHFy
营销助理,深圳市济世堂医生集团有限公司,广东,1.0-3.0,2,专科及以上,,民营企业,50-99人,,2026-07-08 20:01,8a2DYVK1UG8bfr3RR6zD27
计算机实习生2027届2028届,安徽三颗花生网络科技有限公司,福建,2.0-5.0,6,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,50-99人,,2026-07-08 19:57,6AAbWyYDWNSGE7hxtv3AMD
行研实习生,北京鼎帷管理顾问有限公司,北京,2.0-3.0,5,本科及以上,金融 经济学,民营企业,1-49人,五险一金，带薪年假，岗位晋升，技能培训，扁平管理，年度旅游，节日礼物,2026-07-08 18:03,YPcnBziUybVmpuuLaRrvvi
中石油总部会议服务,青岛浩之然教育科技有限公司,北京,3.0-5.0,10,专科及以上,空乘、高铁乘务,民营企业,1-49人,,2026-07-08 17:09,PGj7qWpumg2qaHUFa41cNZ
半导体设备技术员,武汉华工正源光子技术有限公司,湖北,5.5-8.0,30,专科及以上,机电一体化 电气自动化 机械设计与制造 人工智能 工业机器人 智能控制 模具设计等,国有企业,1000-4999人,,2026-07-08 17:09,7v1PnDzL74vMTwHLuespWk
人力实习生,江西南昌济生制药有限责任公司,江西,2.0-2.6,1,本科及以上,人力资源管理 行政管理 工商管理,国有企业,500-999人,,2026-07-08 16:34,PDcm8ReYq1GHdihpe46TxS
投资人关系-一级市场,北京万德嘉鑫信息科技有限公司,北京,4.0-10.0,4,硕士及以上,集成电路科学与工程、电子信息专业学位、机器人工程、智能科学与技术、光电信息科学与工程、光通信技术,民营企业,1-49人,,2026-07-08 16:00,6Zc68wkJacu284G9dpmWQK
基恩士2027校园大使招募,基恩士（中国）有限公司,全国,1.0-3.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-08 15:59,9PX1JNBcbRQBmCYineVz2X
